episode,reward,length,x_pos,policy_loss,value_loss,entropy,flag_reached,time
569,-11.60,188,1136,0,0,0,0,1122.9
570,-34.20,141,722,0,0,0,0,1124.1
571,-8.70,74,709,0,0,0,0,1124.7
572,-31.60,127,690,0,0,0,0,1125.7
573,-45.90,202,849,0,0,0,0,1127.7
574,-34.50,166,819,0,0,0,0,1129.1
575,-36.20,146,723,0,0,0,0,1130.4
576,-55.80,216,806,0,0,0,0,1132.3
577,9.70,204,1412,0,0,0,0,1134.2
578,-16.90,92,697,0,0,0,0,1135.0
579,-40.20,335,1435,0,0,0,0,1138.6
580,-29.60,174,898,0,0,0,0,1140.2
581,-24.20,224,1153,0,0,0,0,1142.1
582,-6.00,249,1434,0,0,0,0,1144.4
583,-46.40,350,1434,0,0,0,0,1147.5
584,-75.50,280,863,0,0,0,0,1150.0
585,-30.00,27,308,0,0,0,0,1150.2
586,-15.60,84,678,0,0,0,0,1151.0
587,-32.60,32,300,0,0,0,0,1151.3
588,-32.60,125,672,0,0,0,0,1152.3
589,-73.90,226,665,0,0,0,0,1154.4
